# GOAE-Leistungskatalog fuer den Abrechnungskalkulator
#
# Quelle: Gebührenordnung für Ärzte (GOÄ)
#   amtliche Fassung von "Gesetze im Internet"
#   https://www.gesetze-im-internet.de/go__1982/
#   Datei BJNR015220982.xml, abgerufen 2026-05-14
# Stand: Neugefasst durch Bek. v. 9.2.1996 I 210; zuletzt geändert durch Art. 3b G v. 19.7.2023 I Nr. 197
#
# Erzeugt mit werkzeuge/katalog_erzeugen.py - nicht von Hand aendern.
# Eigene Ziffern gehoeren in eine zusaetzliche Datei und werden mit
#   kalkulator.py katalog-import <datei.csv>
# eingespielt.
#
# Der Eurobetrag ergibt sich nach § 5 Abs. 1 GOAE aus
#   Punktzahl x 0,0582873 EUR x Steigerungsfaktor.
# Die Betragsspalte des amtlichen Verzeichnisses ist noch in DM gefuehrt und
# daher hier nicht enthalten.
#
# Spalten:
#   nummer        GOAE-Nummer
#   bezeichnung   Leistungslegende (Leerzeichen normiert, sonst unveraendert)
#   punktzahl     Punktzahl nach dem Gebuehrenverzeichnis
#   abschnitt     Abschnitt B bis P des Gebuehrenverzeichnisses
#   klasse        Steigerungsklasse nach § 5 GOAE:
#                   aerztlich  Abs. 2  - Regelsatz 2,3   Hoechstsatz 3,5
#                   technisch  Abs. 3  - Regelsatz 1,8   Hoechstsatz 2,5
#                              (Abschnitte A, E und O)
#                   labor      Abs. 4  - Regelsatz 1,15  Hoechstsatz 1,3
#                              (Abschnitt M und Nummer 437)
#   regelsatz     Schwellenwert; darueber ist eine Begruendung noetig (§ 12 GOAE)
#   hoechstsatz   Hoechstsatz der Steigerungsklasse
#   herkunft      direkt = Punktzahl steht im Verzeichnis bei dieser Nummer
#                 sammel = Nummer gehoert zu einer Sammelposition; die Punktzahl
#                          steht in deren Ueberschrift ("... je Messgroesse 70
#                          7,98 Katalog 3512 ... 3514 Glukose ...")
nummer;bezeichnung;punktzahl;abschnitt;klasse;regelsatz;hoechstsatz;herkunft
96;Schreibgebühr, je Kopie;3;B;aerztlich;2.3;3.5;direkt
100;Untersuchung eines Toten und Ausstellung einer vorläufigen Todesbescheinigung gemäß landesrechtlicher Bestimmungen, gegebenenfalls einschließlich Aktenstudium und Einholung von Auskünften bei Angehörigen, vorbehandelnden Ärzten, Krankenhäusern und Pflegediensten (Dauer mindestens 20 Minuten), gegebenenfalls einschließlich Aufsuchen (vorläufige Leichenschau) Dauert die Leistung nach Nummer 100 weniger als 20 Minuten (ohne Aufsuchen), mindestens aber 10 Minuten (ohne Aufsuchen), sind 60 Prozent der Gebühr zu berechnen.;1896;B;aerztlich;2.3;3.5;direkt
101;Eingehende Untersuchung eines Toten und Ausstellung einer Todesbescheinigung, einschließlich Angaben zu Todesart und Todesursache gemäß landesrechtlicher Bestimmungen, gegebenenfalls einschließlich Aktenstudium und Einholung von Auskünften bei Angehörigen, vorbehandelnden Ärzten, Krankenhäusern und Pflegediensten (Dauer mindestens 40 Minuten), gegebenenfalls einschließlich Aufsuchen (eingehende Leichenschau) Dauert die Leistung nach Nummer 101 weniger als 40 Minuten (ohne Aufsuchen), mindestens aber 20 Minuten (ohne Aufsuchen), sind 60 Prozent der Gebühr zu berechnen.;2844;B;aerztlich;2.3;3.5;direkt
102;Zuschlag zu den Leistungen nach den Nummern 100 oder 101 bei einer Leiche mit einer dem Arzt oder der Ärztin unbekannten Identität und/oder besonderen Todesumständen (zusätzliche Dauer mindestens 10 Minuten);474;B;aerztlich;2.3;3.5;direkt
106;Entnahme einer Körperflüssigkeit bei einem Toten;150;B;aerztlich;2.3;3.5;direkt
107;Bulbusentnahme bei einem Toten;250;B;aerztlich;2.3;3.5;direkt
108;Hornhautentnahme aus einem Auge bei einem Toten;230;B;aerztlich;2.3;3.5;direkt
109;Entnahme eines Herzschrittmachers bei einem Toten;220;B;aerztlich;2.3;3.5;direkt
200;Verband - ausgenommen Schnell- und Sprühverbände, Augen-, Ohrenklappen oder Dreiecktücher -;45;C;aerztlich;2.3;3.5;direkt
201;Redressierender Klebeverband des Brustkorbs oder dachziegelförmiger Klebeverband - ausgenommen Nabelverband -;65;C;aerztlich;2.3;3.5;direkt
204;"Zirkulärer Verband des Kopfes oder des Rumpfes (auch als Wundverband); stabilisierender Verband des Halses, des Schulter- oder Hüftgelenks oder einer Extremität über mindestens zwei große Gelenke; Schanz'scher Halskrawattenverband; Kompressionsverband";95;C;aerztlich;2.3;3.5;direkt
206;Tape-Verband eines kleinen Gelenks;70;C;aerztlich;2.3;3.5;direkt
207;Tape-Verband eines großen Gelenks oder Zinkleimverband;100;C;aerztlich;2.3;3.5;direkt
